,k20,mi9 se,mi8,mix 2s,realme x,vivo z5x,oppo k3,honor play,,realme x lite,lenovo z6 lite,lenovo z5 pro,lenovo z5s,meizu x8,meizu 16x,坚果 pro 2s（红色）,mi 8 se,vivo z3,,redmi n7p,meizu note9,,vivo z3x,mi 6x,oppo k1,mi 8 lite,lenovo s5 pro gt,lenovo k5 pro,lenovo z5,nokia x6,redmi n5
name,红米 k20,小米9 se,小米8,mix 2s,realme x,vivo z5x,oppo k3,荣耀 play,,realme x 青春版,联想 z6 青春版,联想 z5 pro,联想 z5s,魅族 x8,魅族 16x,坚果 pro 2s,小米8 se,vivo z3,,红米 note7 pro,魅族 note 9,,vivo z3x,小米6x,oppo k1,小米8 青春版,联想 s5 pro gt,联想 k5 pro,联想 z5,诺基亚 x6,红米 note5
SoC,730,712,845,845,710,710,710,kirin 970,,710,710,710,710,710,710,710,710,710,,675,675,,660,660,,660,660,636,636,636,636
屏幕形状,升降,水滴,刘海,下巴,升降,挖孔,升降,刘海,,水滴,水滴,滑盖,水滴,刘海,普通,普通,,水滴,,水滴,水滴,,刘海,普通,,,刘海,普通,刘海,,普通
屏幕材质,amoled,ss amoled,amoled,？,amoled,lcd,amoled,lcd（83.3Hz）,,lcd,ltps,ss amoled,,,ss amoled,amoled,,lcd,,oled,lcd,,,?,,,ltps,ipc,,,lcd
指纹,屏幕,屏幕,屏幕,后置,屏幕,背面,屏幕,背面,,背面,背面,屏幕,,背面,屏幕,,,背面,,背面,背面,,背面,背面,,,,背面,,,背面
机身,玻璃,玻璃,玻璃,陶瓷,塑料,塑料,塑料,,,塑料,塑料,玻璃,,,金属,,,,,玻璃,塑料,,,,,,,金属,,,金属
NFC,Y,Y,Y,Y,N,N,N,N,,N,N,Y,,N,N,N,,,,N,N,,N,N,,,,N,玻璃,,N
电池容量,4000,3070,3000,3400,3765,5000,3680,3750,,4000,4000,3350,3300,3200,3100,3600,3100,3300,,4000,4000,,3300,3000,,,3500,4050,3300,3060,4000
Type-C,Y,Y,Y,Y,Y,N,Y,Y,,N,Y,Y,,Y,Y,Y,,N,,Y,Y,,N,Y,,,,Y,,,N
快充,18w,18w,QC 4.0+,QC 3.0,20w,18w,20w,18w,,20w,18w,18w,,N,N,18w,,N,,18w,18w,,N,10w,,,,15w,,,N
flash,ufs2.1,ufs2.1,ufs2.1,ufs2.1,ufs2.1,ufs2.1,ufs2.1,ufs2.1,,emmc,emmc,emmc,,emmc,emmc,emmc,emmc,emmc,,emmc,emmc,,emmc,emmc,,,emmc,emmc,,,emmc
后置,imx582,imx586,imx363,imx363,imx586,imx499,imx519,imx498,,imx519,imx499,imx 576,,imx 362,imx 380,imx363,,imx 499,,imx 586,gm1,,?,imx486,,,imx476,imx350,,,imx362
前置,,imx481,,,,,imx471,,,,,imx 519,,?,imx 350,,,,,,,,,imx376,,,,,,,
厚度,8.8,7.45,7.6,8.1,9.4,8.85,9.4,7.48,,8.3,7.88,9.3,,7.8,7.5,7.15,,8.1,,8.1,8.65,,,7.3,,,7.7,7.98,,,
重量,191,155,177,189,191,204,191,176,,172,164,210,,,154,167,,163.7,,186,170,,,168,,,170,165,,,
4+64,,,,,1350,1050,,1300,,1000,900,,950,1000,,,,,,,1050,,850,,,,900,,,,
6+64,2000,1830,,,1450,1150,1400,1450,,1100,1200,1200,1250,1200,1350,1000,1300,1100,,,1130,,950,850,1000,1000,1000,750,900,800,700
6+128,2100,,1700,1800,,1350,,1800,,1300,1600,1500,,1400,1500,,,,,1250,,,,,,,,800,900,,
8+128,,,,,1650,2000,1700,,,,,,,,,,,,,,,,,,,,,,,,
8+256,2600,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,
